id,domain,link,fullname,priority,id_social,platform,minDateToPull,maxDateToPull,iPullItems,iPullItemsFromSourceErr,last_status,error_message,post_updated_at,post_last_date,uploadId,failed_total
UC-hGolA4ydwaNu55F22C1jg,youtube.com,youtube.com/channel/UC-hGolA4ydwaNu55F22C1jg,부러운노후,1,UC-hGolA4ydwaNu55F22C1jg,7,2024-07-23T09:38:45.259Z,2025-07-23T09:38:45.259Z,0,3,1,,,,,
UCvi1vowEbBVXHzhbJBofrJQ,youtube.com,youtube.com/channel/UCvi1vowEbBVXHzhbJBofrJQ,남박사TV,1,UCvi1vowEbBVXHzhbJBofrJQ,7,2025-05-14T03:29:40Z,2025-05-22T02:46:38Z,1,0,0,,1747383813,2025-06-10T02:55:06Z,UUvi1vowEbBVXHzhbJBofrJQ,0
UCwTeqOOcb4o64be9MnmxUUA,youtube.com,youtube.com/channel/UCwTeqOOcb4o64be9MnmxUUA,빅퀘스천 Big Questions,1,UCwTeqOOcb4o64be9MnmxUUA,7,2025-05-16T07:00:01Z,2025-05-17T04:00:48Z,1,0,0,,1747383716,2025-07-23T09:00:43Z,UUwTeqOOcb4o64be9MnmxUUA,0
UCwA3Gik5ZOnXKKV3RF1A8gQ,youtube.com,youtube.com/channel/UCwA3Gik5ZOnXKKV3RF1A8gQ,꿀단지,1,UCwA3Gik5ZOnXKKV3RF1A8gQ,7,2025-05-15T21:03:38Z,2025-05-17T21:06:04Z,1,0,0,,1747383736,2025-07-20T04:56:44Z,UUwA3Gik5ZOnXKKV3RF1A8gQ,0
UCwBfDJmnPe-dP5dsHNTm17g,youtube.com,youtube.com/channel/UCwBfDJmnPe-dP5dsHNTm17g,슬기로운초등생활,1,UCwBfDJmnPe-dP5dsHNTm17g,7,2025-05-16T00:00:58Z,2025-05-20T00:01:07Z,1,0,0,,1747383739,2025-07-22T00:00:41Z,UUwBfDJmnPe-dP5dsHNTm17g,0
UC03YL8rdyAGXBjFKGVbRVvA,youtube.com,youtube.com/channel/UC03YL8rdyAGXBjFKGVbRVvA,썰있냐,1,UC03YL8rdyAGXBjFKGVbRVvA,7,2024-07-23T09:38:17.048Z,2025-07-23T09:38:17.048Z,0,3,1,,,,,
UCvLhVCboLFpSirQ6hgahBcA,youtube.com,youtube.com/channel/UCvLhVCboLFpSirQ6hgahBcA,랭킹살롱,1,UCvLhVCboLFpSirQ6hgahBcA,7,2025-05-14T13:00:45Z,2025-05-16T13:01:06Z,1,0,0,,1747383866,2025-07-23T08:01:09Z,UUvLhVCboLFpSirQ6hgahBcA,0
UCwKY1AhPspYQGJPLALlzhig,youtube.com,youtube.com/channel/UCwKY1AhPspYQGJPLALlzhig,사건 바로미터,1,UCwKY1AhPspYQGJPLALlzhig,7,2025-05-16T06:00:10Z,2025-05-16T08:28:51Z,1,0,0,,1747383799,2025-07-22T06:30:30Z,UUwKY1AhPspYQGJPLALlzhig,0
UCv6nXR8A-wSidnF6H-2wQYg,youtube.com,youtube.com/channel/UCv6nXR8A-wSidnF6H-2wQYg,전대미문스튜디오,1,UCv6nXR8A-wSidnF6H-2wQYg,7,2025-05-14T07:00:46Z,2025-05-21T07:00:06Z,1,0,0,,1747383915,2025-07-23T07:00:57Z,UUv6nXR8A-wSidnF6H-2wQYg,0
UCwHzR_2_UTbZpyeIlRzRPNQ,youtube.com,youtube.com/channel/UCwHzR_2_UTbZpyeIlRzRPNQ,장사 권프로,1,UCwHzR_2_UTbZpyeIlRzRPNQ,7,2025-05-15T22:42:28Z,2025-05-17T06:01:00Z,1,0,0,,1747383733,2025-07-23T02:57:43Z,UUwHzR_2_UTbZpyeIlRzRPNQ,0
