id,fullname,platform,fb_user_type,id_social,domain,created_date,createdBy
fb_100067875617116,Cửa Hàng Sữa Nghĩa Thu,1,255,100067875617116,facebook.com,2025-04-29T16:33:16.968Z,PageWebReplyCommentCrawlingLoader
tt_MS4wLjABAAAAc6o_kgs_lugzkZRD2G4wV4UQMFrg-SmFnVH1ahFPEjCHNImU8Ec5RdbsWWbOpvzw,Hệ thống Bệnh viện Mắt Sài Gòn,9,,MS4wLjABAAAAc6o_kgs_lugzkZRD2G4wV4UQMFrg-SmFnVH1ahFPEjCHNImU8Ec5RdbsWWbOpvzw,tiktok.com,2025-04-29T09:14:42.902Z,
fb_100064806603692,Dinh Hội Babymart Thái Bình,1,255,100064806603692,facebook.com,2025-05-06T04:22:20.837Z,PageWebReplyCommentCrawlingLoader
fb_100083226248003,ASUN KIDS,1,255,100083226248003,facebook.com,2025-04-30T10:37:23.974Z,PageWebReplyCommentCrawlingLoader
tt_MS4wLjABAAAA6NjRYswD_5lnypW1WCPOs4qpWVRybH20DbnMaptuWUoHhGadLBfOCg9VMdDNbJUi,Link Cua,9,,MS4wLjABAAAA6NjRYswD_5lnypW1WCPOs4qpWVRybH20DbnMaptuWUoHhGadLBfOCg9VMdDNbJUi,tiktok.com,2025-04-29T09:14:42.902Z,
tt_MS4wLjABAAAAP84-F5tOEvi840f0dKmjJtniq_QPNU41GKkV6OTq4V-GnHhHQEDGnaPYiUNvHOVP,Đinh Toàn Trung DVDL,9,,MS4wLjABAAAAP84-F5tOEvi840f0dKmjJtniq_QPNU41GKkV6OTq4V-GnHhHQEDGnaPYiUNvHOVP,tiktok.com,2025-04-29T09:14:42.902Z,
tt_MS4wLjABAAAAJNoBCBVuSBnV54Eoz_Fhfg7w9xrLcdeFxJS0_Sz4Ybh3D_0038FiHP5e77L9aGaD,suamell:v,9,,MS4wLjABAAAAJNoBCBVuSBnV54Eoz_Fhfg7w9xrLcdeFxJS0_Sz4Ybh3D_0038FiHP5e77L9aGaD,tiktok.com,2025-04-29T09:14:42.902Z,
fb_100014736033246,Vũ Nhung,1,255,100014736033246,facebook.com,2025-05-06T04:22:20.963Z,PageWebReplyCommentCrawlingLoader
fb_100022891573120,Kỷ Nguyên Trần,1,255,100022891573120,facebook.com,2025-05-03T04:05:23.018Z,PageWebCommentCrawlingLoader
tt_MS4wLjABAAAAOax0_Mpd2hyVQOJ-8W9Srxr8eiFoEkVO-yfVgOcPrDUxfXz_S_6-ACkfnKENojzQ,Tín Villa,9,,MS4wLjABAAAAOax0_Mpd2hyVQOJ-8W9Srxr8eiFoEkVO-yfVgOcPrDUxfXz_S_6-ACkfnKENojzQ,tiktok.com,2025-04-29T09:14:42.902Z,
